ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
52752,philosophy,NN,3,"0,2,1",{(philo)(soph)>y>},0,30,53808,0,15,39925,"1,086519115",2486,3870233,1,"4,99E-05","0,02981615943"
52755,philosophize,VB,3,"0,2,1",{(philo)(soph)>ize>},"27,5862069",30,53808,"64,28571429",15,39925,"46,15384615",430,443161,3,"0,0001489300728","0,0101961996"
52756,philosophized,VB|JJ,3,"0,2,1",{(philo)(soph)>ize>},"27,5862069",30,53808,"64,28571429",15,39925,"46,15384615",430,443161,3,"0,0001489300728","0,0101961996"
52757,philosophizing,VB|NN,3,"0,2,1",{(philo)(soph)>ize>},"27,5862069",30,53808,"64,28571429",15,39925,"46,15384615",430,443161,3,"0,0001489300728","0,0101961996"
52778,phonology,NN,3,"0,2,1",{(phon)(log)>y>},50,41,207292,"53,73831776",215,380513,"29,73843058",2486,3870233,1,"4,99E-05","0,02981615943"
52797,photocopier,NN,3,"0,2,1",(photo){(copy)}>er>,"28,57142857",29,54567,"41,66666667",13,235770,"34,93180818",2274,4569119,2,"3,55E-05","0,02502703538"
52798,photoelectric,JJ,3,"0,2,1",(photo){(electr)>ic>},50,29,54567,"88,88888889",28,175489,"61,20434353",1014,1472797,2,"2,78E-05","0,006334002781"
52800,photogenic,JJ,3,"0,2,1",{(photo)(gen)>ic>},"39,28571429",29,54567,"70,58823529",35,84143,"55,5774926",1014,1472797,2,"2,78E-05","0,006334002781"
52803,photographer,NN,3,"0,2,1",{(photo)(graph)>er>},"10,71428571",29,54567,"9,565217391",116,198105,"7,039155301",2274,4569119,2,"3,55E-05","0,02502703538"
52804,photographers,NN,3,"0,2,1",{(photo)(graph)>er>},"10,71428571",29,54567,"9,565217391",116,198105,"7,039155301",2274,4569119,2,"3,55E-05","0,02502703538"
52805,photographic,JJ,3,"0,2,1",{(photo)(graph)>ic>},"17,85714286",29,54567,"13,91304348",116,198105,"10,76011846",1014,1472797,2,"2,78E-05","0,006334002781"
52809,photography,NN,3,"0,2,1",{(photo)(graph)>y>},"7,142857143",29,54567,"7,826086957",116,198105,"3,822937626",2486,3870233,1,"4,99E-05","0,02981615943"
52812,photorealism,NN,3,"0,2,1",{(photo)}{(real)}>ism>,"46,42857143",29,54567,"93,33333333",16,660297,"59,25925926",271,218200,3,"5,50E-05","0,001853854472"
52817,photosensitive,JJ,3,"0,2,1",(photo){(sense)>ive>},"60,71428571",29,54567,"73,33333333",46,144057,"73,57512953",580,1037354,3,"1,74E-05","0,002780781709"
52822,phraseology,NN,3,"0,2,1",{(phrase)(log)>y>},"57,14285714",8,22510,"52,3364486",215,380513,"28,32997988",2486,3870233,1,"4,99E-05","0,02981615943"
52825,phrenology,NN,3,"0,2,1",{(phrene)(log)>y>},0,2,67,"65,88785047",215,380513,"36,861167",2486,3870233,1,"4,99E-05","0,02981615943"
52838,physiognomy,NN,3,"0,2,1",{(phys)(gnom)>y>},"82,14285714",29,107401,0,1,34,"43,09859155",2486,3870233,1,"4,99E-05","0,02981615943"
52839,physiologic,JJ,3,"0,2,1",{(phys)(log)>ic>},"67,85714286",29,107401,"56,54205607",215,380513,"50,93780849",1014,1472797,2,"2,78E-05","0,006334002781"
52842,physiologist,NN,3,"0,2,1",{(phys)(log)>ist>},50,29,107401,"46,26168224",215,380513,"38,39479393",462,382916,3,"6,27E-05","0,003707708945"
52843,physiology,NN,3,"0,2,1",{(phys)(log)>y>},"17,85714286",29,107401,"12,61682243",215,380513,"7,122736419",2486,3870233,1,"4,99E-05","0,02981615943"
52844,physiotherapist,NN,3,"0,2,1",(phys){(therap)>ist>},"82,14285714",29,107401,"78,57142857",15,17922,"71,36659436",462,382916,3,"6,27E-05","0,003707708945"
52845,physiotherapy,NN,3,"0,2,1",(phys){(therap)>y>},"78,57142857",29,107401,"64,28571429",15,17922,"37,22334004",2486,3870233,1,"4,99E-05","0,02981615943"
52914,piggyback,NN|VB,3,"0,2,1",{(pig)}>y>{(back)},"16,66666667",19,13040,"23,78269618",2486,3870233,"4,99E-05","0,02981615943","44,11764706",69,549038,4
