ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL
23361,houseflies,NN,2,"0,2,0",{(house)}{(fly)},"56,66666667",91,155845,"61,53846154",27,76434
23365,housemaids,NN,2,"0,2,0",{(house)}{(maid)},"63,33333333",91,155845,"73,33333333",16,9264
23366,houseman,NN,2,"0,2,0",{(house)}(man),"51,11111111",91,155845,"59,04761905",211,300379
23367,housemasters,NN,2,"0,2,0",{(house)}{(master)},"77,77777778",91,155845,"92,85714286",29,86963
23368,housemen,NN,2,"0,2,0",{(house)}{(men)},"81,11111111",91,155845,"77,70700637",158,125014
23369,housemistresses,NN,2,"0,2,0",{(house)}{(mistress)},"85,55555556",91,155845,100,5,5324
23370,housemothers,NN,2,"0,2,0",{(house)}{(mother)},"77,77777778",91,155845,"81,81818182",12,59735
23371,houseproud,JJ,2,"0,2,0",{(house)}{(proud)},"85,55555556",91,155845,100,5,19110
23372,houseroom,NN,2,"0,2,0",{(house)}{(room)},"81,11111111",91,155845,"86,36363636",45,125676
23373,housewarmings,NN,2,"0,2,0",{(house)}{(warm)},"38,88888889",91,155845,"53,84615385",14,29760
23384,hovercrafts,NN,2,"0,2,0",{(hover)}{(craft)},50,3,2338,"34,7826087",24,34488
23420,headlamps,NN,2,"0,2,0",{(head)}{(lamp)},"43,29896907",98,230581,"12,5",9,8765
23421,headlined,VB,2,"0,2,0",{(head)}{(line)},"5,154639175",98,230581,"14,28571429",64,426769
23423,headmasters,NN,2,"0,2,0",{(head)}{(master)},"24,74226804",98,230581,25,29,86963
23424,headmen,NN,2,"0,2,0",{(head)}{(men)},"82,4742268",98,230581,"70,70063694",158,125014
23425,headmistresses,NN,2,"0,2,0",{(head)}{(mistress)},"61,8556701",98,230581,25,5,5324
23426,headpieces,NN,2,"0,2,0",{(head)}{(piece)},"44,32989691",98,230581,"22,72727273",23,77902
23427,headrests,NN,2,"0,2,0",{(head)}{(rest)},"54,63917526",98,230581,50,11,87246
23428,headsets,NN,2,"0,2,0",{(head)}{(set)},"13,40206186",98,230581,"43,47826087",24,474416
23431,HEADSMAN,NN,2,"0,2,0",{(head)}(man),"64,94845361",98,230581,"55,71428571",211,300379
23434,HEADWALLS,NN,2,"0,2,0",{(head)}{(wall)},"79,3814433",98,230581,"88,88888889",10,108958
